model_id,body_part,color,chamfer_distance
00135,Bottom-Half Clothes,"1.0,0.0,1.0",0.020237237333839333
00135,Hair,"0.0,1.0,0.0",0.025909987962273798
00135,Head,"1.0,0.5,0.0",0.01813945336948468
00163,overall,NA,0.025926607931287766
00163,Hands,"1.0,0.0,0.0",0.09706504563573466
00163,Legs,"0.0,0.8,0.8",0.020161459286127732
00163,Bottom-Half Clothes,"1.0,0.0,1.0",0.017944855611712912
00163,Shoes,"0.0,0.0,1.0",0.040920248265684175
00163,Top-Half Clothes,"1.0,1.0,0.0",0.019311315091123254
00163,Hair,"0.0,1.0,0.0",0.02299002739003391
00163,Head,"1.0,0.5,0.0",0.014759755727092736
00190,overall,NA,0.024512411737354925
00190,Hands,"1.0,0.0,0.0",0.17642201728428003
00190,Top-Half Clothes,"1.0,1.0,0.0",0.024888866867327372
00190,Hair,"0.0,1.0,0.0",0.024660125655292006
00190,Bottom-Half Clothes,"1.0,0.0,1.0",0.020344536796537513
00190,Shoes,"0.0,0.0,1.0",0.018702706672062988
00190,Head,"1.0,0.5,0.0",0.02162955394824772
00148,overall,NA,0.02663785877624749
00148,Top-Half Clothes,"1.0,1.0,0.0",0.029324473425589345
00148,Shoes,"0.0,0.0,1.0",0.03400264758506309
00148,Legs,"0.0,0.8,0.8",0.03267395607743056
00148,Hands,"1.0,0.0,0.0",0.07598240518285077
00148,Hair,"0.0,1.0,0.0",0.0269972886562361
00148,Head,"1.0,0.5,0.0",0.022536090563665484
00149,overall,NA,0.02742343919440192
00149,Hands,"1.0,0.0,0.0",0.08794533057823581
00149,Top-Half Clothes,"1.0,1.0,0.0",0.023002131644404608
00149,Bottom-Half Clothes,"1.0,0.0,1.0",0.027238872892034794
00149,Shoes,"0.0,0.0,1.0",0.04368251660189798
00149,Legs,"0.0,0.8,0.8",0.02255649100824879
00149,Head,"1.0,0.5,0.0",0.017191094545048895
00149,Hair,"0.0,1.0,0.0",0.027114215852912696
00167,overall,NA,0.03268174600571306
00167,Hands,"1.0,0.0,0.0",0.08499487569970679
00167,Bottom-Half Clothes,"1.0,0.0,1.0",0.02746626057883443
00167,Top-Half Clothes,"1.0,1.0,0.0",0.017771409452120034
00167,Shoes,"0.0,0.0,1.0",0.03707999984415994
00167,Legs,"0.0,0.8,0.8",0.04184342339642816
00167,Head,"1.0,0.5,0.0",0.015426363297985666
00167,Hair,"0.0,1.0,0.0",0.020383850060846784
